document_index,summarizer,normalizer,rouge_1,rouge_2,rouge_l,time_elapsed
1297,freq,raw,0.6301369863013698,0.6111111111111112,0.6271186440677966,0.0
1135,freq,raw,0.9401709401709402,0.9262295081967213,0.7455621301775148,0.0
1958,freq,raw,0.9298245614035088,0.911504424778761,0.30666666666666664,0.0
1380,freq,raw,0.8461538461538461,0.8148148148148148,0.27601809954751133,0.0009963512420654297
1616,freq,raw,0.85,0.8227848101265823,0.7168141592920354,0.0
1684,freq,raw,0.5581395348837209,0.5232558139534884,0.822429906542056,0.0
1398,freq,raw,0.5833333333333334,0.5555555555555556,0.8809523809523809,0.0
303,freq,raw,0.39325842696629215,0.3888888888888889,0.734375,0.0
974,freq,raw,0.8333333333333334,0.8072289156626506,0.425,0.0010004043579101562
374,freq,raw,0.52,0.4868421052631579,0.632,0.0
938,freq,raw,0.8441558441558441,0.8157894736842105,0.7155963302752294,0.0
233,freq,raw,0.45714285714285713,0.42028985507246375,0.8987341772151899,0.0
493,freq,raw,0.8735632183908046,0.8488372093023255,0.39285714285714285,0.0
641,freq,raw,0.5172413793103449,0.5,0.5170454545454546,0.0
1560,freq,raw,0.8842105263157894,0.8673469387755102,0.5833333333333334,0.0
433,freq,raw,0.8571428571428571,0.8354430379746836,0.36607142857142855,0.0010037422180175781
1831,freq,raw,0.8333333333333334,0.810126582278481,0.680672268907563,0.0
1718,freq,raw,0.8641975308641975,0.8395061728395061,0.44623655913978494,0.0
42,freq,raw,0.5813953488372093,0.5617977528089888,0.978494623655914,0.0
546,freq,raw,0.84,0.8157894736842105,0.6554621848739496,0.0
21,freq,raw,0.5352112676056338,0.5211267605633803,0.73,0.0
1502,freq,raw,0.631578947368421,0.575,0.712,0.0
33,freq,raw,0.8539325842696629,0.8314606741573034,0.7913043478260869,0.0
1776,freq,raw,0.8414634146341463,0.8235294117647058,0.41037735849056606,0.0
554,freq,raw,0.8235294117647058,0.7910447761194029,0.7263157894736842,0.0
1300,freq,raw,0.9340659340659341,0.9010989010989011,0.40772532188841204,0.0
543,freq,raw,0.819672131147541,0.7846153846153846,0.544,0.0
1945,freq,raw,0.5824175824175825,0.5543478260869565,0.3418181818181818,0.0
1387,freq,raw,0.56,0.5394736842105263,0.43646408839779005,0.0005037784576416016
1771,freq,raw,0.5454545454545454,0.5076923076923077,0.9850746268656716,0.0
429,freq,raw,0.8552631578947368,0.8289473684210527,0.4642857142857143,0.0
1310,freq,raw,0.8064516129032258,0.7777777777777778,0.6055045871559633,0.0
511,freq,raw,0.828125,0.803030303030303,0.711340206185567,0.0
2071,freq,raw,0.5875,0.575,0.7387387387387387,0.0
1878,freq,raw,0.5294117647058824,0.4925373134328358,0.7582417582417582,0.0
579,freq,raw,0.3854166666666667,0.35714285714285715,0.9545454545454546,0.0
601,freq,raw,0.5625,0.5396825396825397,0.9701492537313433,0.0
2023,freq,raw,0.8775510204081632,0.8367346938775511,0.6944444444444444,0.0009999275207519531
2140,freq,raw,0.3488372093023256,0.313953488372093,0.9090909090909091,0.0
761,freq,raw,0.8533333333333334,0.8133333333333334,0.8191489361702128,0.0
1384,freq,raw,0.3697478991596639,0.3277310924369748,0.5654205607476636,0.0010004043579101562
1726,freq,raw,0.6129032258064516,0.6021505376344086,0.3321678321678322,0.0
1934,freq,raw,0.890625,0.859375,0.49624060150375937,0.0
70,freq,raw,0.2727272727272727,0.26436781609195403,0.9887640449438202,0.0
1657,freq,raw,0.6818181818181818,0.6515151515151515,0.5,0.0005121231079101562
409,freq,raw,0.3333333333333333,0.3235294117647059,0.9857142857142858,0.0
420,freq,raw,0.625,0.5714285714285714,0.6622516556291391,0.0
1855,freq,raw,0.9465648854961832,0.9312977099236641,0.37464788732394366,0.0
1461,freq,raw,0.7966101694915254,0.75,0.5740740740740741,0.0
749,freq,raw,0.5301204819277109,0.5,0.9175257731958762,0.0
814,freq,raw,0.8243243243243243,0.7763157894736842,0.2899628252788104,0.0
1231,freq,raw,0.6126126126126126,0.5585585585585585,0.2817955112219451,0.0
1888,freq,raw,0.9195402298850575,0.896551724137931,0.6312056737588653,0.0
17,freq,raw,0.4375,0.3939393939393939,0.7941176470588235,0.0
173,freq,raw,0.8625,0.8414634146341463,0.68,0.0
1847,freq,raw,0.22727272727272727,0.21212121212121213,0.7010309278350515,0.0
1701,freq,raw,0.5324675324675324,0.5064935064935064,0.7117117117117117,0.0
1422,freq,raw,0.32894736842105265,0.3157894736842105,0.7722772277227723,0.0
1103,freq,raw,0.8958333333333334,0.8712871287128713,0.7446808510638298,0.0
184,freq,raw,0.5185185185185185,0.5,0.9243697478991597,0.0
2224,freq,raw,0.9565217391304348,0.9300699300699301,0.1027972027972028,0.0
1284,freq,raw,0.5891472868217055,0.5522388059701493,0.5637860082304527,0.0
462,freq,raw,0.3380281690140845,0.3333333333333333,0.88,0.0
1010,freq,raw,0.9292929292929293,0.912621359223301,0.38571428571428573,0.0
628,freq,raw,0.5967741935483871,0.5625,0.8111111111111111,0.0
895,freq,raw,0.8924731182795699,0.8645833333333334,0.7101449275362319,0.0
812,freq,raw,0.872093023255814,0.8333333333333334,0.4449760765550239,0.0
1821,freq,raw,0.5875,0.5443037974683544,0.9204545454545454,0.0
1455,freq,raw,0.5507246376811594,0.5294117647058824,0.9090909090909091,0.0
360,freq,raw,0.8607594936708861,0.8354430379746836,0.7232142857142857,0.0
2061,freq,raw,0.5362318840579711,0.5,1.0,0.0
332,freq,raw,0.45,0.4375,0.6666666666666666,0.0
24,freq,raw,0.8470588235294118,0.8235294117647058,0.4046511627906977,0.0
787,freq,raw,0.6164383561643836,0.5974025974025974,0.8095238095238095,0.0
1724,freq,raw,0.8765432098765432,0.8518518518518519,0.6194029850746269,0.0
613,freq,raw,0.8552631578947368,0.8205128205128205,0.7864077669902912,0.0
